# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	8218
#@/user_id	740140e4-90a9-4364-babb-eaadd52cc38c
a 	啊	c=22 d=1.00954 t=7888
hui fu 	恢復	c=1 d=1 t=3547
hui gu 	惠顧	c=0 d=0.1 t=8007
hui hua 	會話	c=1 d=1 t=7623
hui jia 	回家	c=1 d=1 t=2442
hui lai 	回來	c=2 d=1.00004 t=4639
hui lai le 	回來了	c=1 d=1 t=739
hui nong 	惠農	c=0 d=0.1 t=4330
hui qu 	回去	c=2 d=0.100191 t=5133
hui shi 	回事	c=1 d=1 t=2944
hui tou 	回頭	c=3 d=1.00063 t=4187
hui wan 	會玩	c=1 d=1 t=996
hui xue 	迴雪	c=1 d=1 t=3945
hui you 	會有	c=2 d=1.00923 t=2108
hui you ren 	會有人	c=1 d=1 t=7807
hui yuan 	會員	c=2 d=1.96561 t=906
hui zhang 	會長	c=1 d=1 t=7130
hun 	混	c=1 d=1 t=758
hun bu xia qu 	混不下去	c=1 d=1 t=4599
hun de 	混得	c=1 d=1 t=4601
hun shui 	混水	c=2 d=1.97531 t=7645
hun zai 	混在	c=1 d=1 t=7913
huo 	或	c=3 d=1.00485 t=3978
huo 	火	c=3 d=1.00581 t=5627
huo de 	活得	c=1 d=1 t=1418
huo li 	火力	c=2 d=1.84366 t=305
huo nan 	火男	c=1 d=1 t=3962
huo ying 	火影	c=0 d=0.1 t=7349
huo ying de 	火影的	c=1 d=1 t=7350
huo zhe 	活着	c=0 d=0.1 t=1949
ji 	即	c=1 d=1 t=1957
ji 	幾	c=1 d=1 t=2363
ji bai 	幾百	c=1 d=1 t=3409
ji ben 	基本	c=4 d=2.13808 t=2248
ji bie 	級別	c=1 d=1 t=622
ji chu 	基礎	c=0 d=0.1 t=2290
ji chu fei 	基礎費	c=1 d=1 t=2291
ji ci 	幾次	c=1 d=1 t=7620
ji de 	記得	c=0 d=0.1 t=1115
ji du 	基督	c=2 d=1.94176 t=7886
ji du jiao 	基督教	c=1 d=1 t=7879
ji fang 	機房	c=1 d=1 t=6854
ji ge 	幾個	c=7 d=1.01608 t=8190
ji guan 	籍貫	c=1 d=1 t=1981
ji hu 	幾乎	c=1 d=1 t=7062
ji ji 	幾級	c=1 d=1 t=4829
ji jia 	幾家	c=1 d=1 t=1709
ji jin 	激進	c=0 d=0.1 t=633
ji jin ban 	激進版	c=1 d=1 t=634
ji ke 	即刻	c=1 d=1 t=1772
ji ke yi 	既可以	c=1 d=1 t=7889
ji li 	吉利	c=3 d=2.93654 t=5296
ji lu 	記錄	c=5 d=1 t=7571
ji lu me 	記錄麼	c=1 d=1 t=4305
ji neng 	技能	c=1 d=1 t=5757
ji nian 	幾年	c=2 d=0.1 t=7034
ji nian bi 	紀念幣	c=2 d=1.87372 t=6731
ji nian qiang 	幾年強	c=1 d=1 t=7035
ji piao 	機票	c=1 d=1 t=6108
ji pin 	極品	c=1 d=1 t=5302
ji qi ren 	機器人	c=1 d=1 t=6812
ji qun 	集羣	c=1 d=1 t=4218
ji shi 	及時	c=1 d=1 t=2909
ji shi 	幾十	c=1 d=1 t=3849
ji shi kuai 	幾十塊	c=1 d=1 t=6565
ji shu 	技術	c=1 d=1.09704 t=7649
ji suan 	計算	c=1 d=1 t=348
ji suan ji 	計算機	c=2 d=1.99005 t=3685
ji tuan 	集團	c=0 d=0.1 t=3256
ji tuo 	寄託	c=1 d=1 t=6293
ji xia 	幾下	c=1 d=1 t=694
ji xiao 	績效	c=0 d=0.1 t=804
ji xu 	繼續	c=1 d=1 t=5360
ji zhi 	機制	c=2 d=1.40052 t=2375
ji zhong 	集中	c=1 d=1 t=5465
jia 	假	c=4 d=1.23818 t=2262
jia 	加	c=2 d=0.100268 t=4673
jia 	家	c=0 d=0.1 t=1692
jia ban 	加班	c=1 d=1 t=4687
jia bu shang 	加不上	c=1 d=1 t=4674
jia ge 	價格	c=3 d=1.02271 t=5855
jia hao 	加好	c=1 d=1 t=4671
jia li 	家裏	c=0 d=0.1 t=4750
jia li ao 	家裏奧	c=1 d=1 t=4751
jia mi 	加密	c=1 d=1 t=976
jia qian 	加錢	c=1 d=1 t=3730
jia ru 	加入	c=1 d=1 t=8218
jia su 	加速	c=5 d=1.00148 t=5140
jia yi 	加一	c=0 d=0.0865022 t=8218
jia yi xia 	加一下	c=1 d=0.869358 t=8218
jia zhao 	駕照	c=1 d=1.1 t=3839
jia zhou 	加州	c=0 d=0.1 t=7462
jia zi 	夾子	c=1 d=1 t=7741
jian 	劍	c=1 d=1 t=3953
jian 	減	c=2 d=1.00566 t=7066
jian 	見	c=1 d=1 t=769
jian 	間	c=1 d=0.100001 t=5734
jian ce 	檢測	c=0 d=0.1 t=3554
jian ce dao 	檢測到	c=1 d=1 t=3555
jian chi 	堅持	c=0 d=0.1 t=337
jian dan 	簡單	c=0 d=0.1 t=825
jian dan yi dian 	簡單一點	c=1 d=1 t=826
jian ding 	堅定	c=1 d=1 t=587
jian ji 	剪輯	c=1 d=1 t=3584
jian jue 	堅決	c=1 d=1 t=560
jian kong 	監控	c=1 d=1 t=4265
jian mo 	建模	c=3 d=1.93085 t=4842
jian pan 	鍵盤	c=2 d=1.00355 t=4692
jian rong 	兼容	c=2 d=1.01197 t=3306
jian she yin hang 	建設銀行	c=1 d=1 t=6730
jian shen fang 	健身房	c=2 d=1.93239 t=5587
jian ti 	簡體	c=0 d=0.1 t=116
jian ti fan ti 	簡體繁體	c=1 d=1 t=117
jian wan 	減完	c=1 d=1 t=6037
jian yi 	建議	c=1 d=1 t=5122
jian yi mian 	見一面	c=1 d=1 t=766
jian yu 	監獄	c=1 d=1 t=4001
jian yu li 	監獄裏	c=1 d=1 t=582
jiang 	將	c=1 d=1 t=2254
jiang 	講	c=2 d=0.100028 t=6995
jiang bu qing 	講不清	c=1 d=1 t=6996
jiang ji 	降級	c=1 d=1 t=7083
jiang jiu 	將就	c=1 d=1 t=6497
jiang shan 	江山	c=2 d=1.97531 t=6137
jiang shi 	殭屍	c=1 d=1 t=1105
jiang su 	江蘇	c=4 d=2.36441 t=5105
jiang yi xia 	講一下	c=1 d=1 t=4729
jiang zhi 	降智	c=1 d=1 t=3109
jiao 	叫	c=2 d=1 t=5597
jiao 	教	c=2 d=1.84366 t=7905
jiao 	腳	c=2 d=1.04372 t=7026
jiao 	較	c=1 d=1 t=2197
jiao an 	教案	c=1 d=1 t=3445
jiao gei 	交給	c=1 d=1 t=5151
jiao liu qun 	交流羣	c=1 d=1 t=3670
jiao sha 	叫啥	c=1 d=1 t=6172
jiao shen me 	叫什麼	c=1 d=1 t=3315
jiao yu 	教育	c=1 d=1 t=8172
jie 	借	c=2 d=1.00049 t=5636
jie 	接	c=2 d=1.96079 t=3473
jie 	解	c=2 d=1 t=2939
jie dian 	借點	c=1 d=1 t=270
jie ge 	接個	c=1 d=1 t=95
jie guo 	結果	c=6 d=1.04442 t=7528
jie ji 	階級	c=1 d=1 t=2654
jie ju 	結局	c=2 d=1 t=4066
jie jue 	解決	c=1 d=1 t=362
jie kou 	接口	c=8 d=2.3894 t=5978
jie la 	解辣	c=1 d=1 t=5398
jie le 	接了	c=1 d=1 t=3715
jie mi 	解密	c=1 d=1 t=963
jie mu 	節目	c=1 d=1 t=7950
jie ri 	節日	c=4 d=2.68267 t=7935
jie ru 	接入	c=4 d=1.00003 t=7384
jie shou 	接受	c=1 d=1 t=2306
jie shu 	結束	c=1 d=1 t=2590
jie si 	傑斯	c=2 d=1.01284 t=4767
jie suan 	結算	c=2 d=0.1 t=7519
jie suan li shi 	結算歷史	c=1 d=1 t=1241
jie suan mo kuai 	結算模塊	c=1 d=1 t=7520
jie ta 	借他	c=1 d=1 t=5532
jie tu 	截圖	c=4 d=1.07498 t=5080
jie xi 	傑西	c=1 d=1 t=6040
jie xin 	戒心	c=1 d=1 t=5770
jie ya 	解壓	c=2 d=1.97531 t=3072
jie yue 	節約	c=0 d=0.1 t=7565
jie zhe 	接着	c=3 d=1.01554 t=3421
jin 	勁	c=1 d=1 t=5568
jin 	近	c=1 d=1 t=7359
jin cheng 	進程	c=3 d=1.00027 t=6214
jin dou yun 	金鬥雲	c=2 d=0.200259 t=3710
jin e 	金額	c=4 d=0.932394 t=8218
jin fu 	勁夫	c=4 d=3.72357 t=5611
jin ge 	禁歌	c=1 d=1 t=1346
jin hua 	進化	c=1 d=1 t=6236
jin ji 	緊急	c=1 d=1 t=4278
jin jiang 	晉江	c=1 d=1 t=4035
jin ku 	金庫	c=1 d=1 t=1193
jin qu 	進去	c=2 d=1 t=3678
jin ri 	今日	c=1 d=1 t=1086
jin rong 	金融	c=1 d=1 t=5329
jin se 	金色	c=1 d=1 t=2330
jin shan 	金山	c=1 d=1 t=6138
jin shen 	謹慎	c=1 d=1 t=4419
jin tian 	今天	c=6 d=1.00574 t=7927
jin wan 	今晚	c=0 d=0.1 t=5035
jin wan lai wo 	今晚來我	c=1 d=1 t=5036
jin xiao 	盡孝	c=1 d=1 t=6088
jin xing 	進行	c=6 d=1.00001 t=5324
jin yong 	禁用	c=1 d=1 t=2849
jin zhao 	今朝	c=1 d=1 t=4015
jin zi 	金子	c=0 d=0.1 t=6702
jin zi ban 	金子版	c=1 d=1 t=6703
jing 	經	c=0 d=0.1 t=2788
jing cha 	警察	c=1 d=1 t=1471
jing chang 	經常	c=1 d=1 t=685
jing dong 	京東	c=4 d=3.56169 t=5860
jing gai 	井蓋	c=1 d=1 t=4152
jing guo 	經過	c=1 d=1 t=6217
jing li 	經理	c=1 d=1 t=7632
jing ran 	竟然	c=1 d=1 t=3634
jing sui 	精髓	c=0 d=0.1 t=5650
jing wai 	境外	c=1 d=1.09418 t=8176
jing wai shi li 	境外勢力	c=1 d=1 t=8165
jing xi 	驚喜	c=1 d=1 t=1865
jing xiang 	鏡像	c=2 d=1.77105 t=5394
jiu 	就	c=28 d=0.729789 t=8218
jiu cha 	就差	c=1 d=1 t=2607
jiu de 	舊的	c=1 d=1 t=6679
jiu gan jue 	就感覺	c=2 d=1.99501 t=7394
jiu hao 	就好	c=3 d=1.02167 t=6003
jiu hao le ba 	就好了吧	c=1 d=1 t=3287
jiu hui 	就會	c=1 d=1.0015 t=4889
jiu hui chui 	就會吹	c=1 d=1 t=4050
jiu jiao 	就叫	c=1 d=1 t=5286
jiu kan zhe 	就看着	c=1 d=1 t=3045
jiu mai 	就買	c=2 d=1.97531 t=5869
jiu neng 	就能	c=0 d=0.1 t=1349
jiu neng ting 	就能聽	c=1 d=1 t=1350
jiu qian mian 	就前面	c=1 d=1 t=4828
jiu ru tong 	就如同	c=1 d=1 t=2760
jiu shi 	就是	c=22 d=1.91325 t=7850
jiu shi bie 	就識別	c=1 d=1 t=3528
jiu shuo 	就說	c=1 d=1 t=482
jiu suan 	就算	c=1 d=1 t=1675
jiu suan le 	就算了	c=1 d=1 t=6564
jiu suan shi 	就算是	c=1 d=1 t=571
jiu ting duo 	就挺多	c=1 d=1 t=1753
jiu tong 	酒桶	c=1 d=1 t=3897
jiu wan shi 	就完事	c=1 d=1 t=6154
jiu xia 	就下	c=1 d=1 t=5867
jiu xiang 	就像	c=1 d=1 t=6998
jiu ye 	就業	c=1 d=1 t=6638
jiu yi ge 	就一個	c=1 d=1 t=633
jiu yi zhong 	就一種	c=1 d=1 t=4706
jiu yong 	就用	c=1 d=1 t=4585
jiu you 	就有	c=0 d=0.1 t=7810
jiu zhe 	就這	c=1 d=1 t=4900
jiu zhe ge 	就這個	c=1 d=1 t=5503
jiu zhe me ge 	就這麼個	c=1 d=1 t=5168
jiu zhe yang le 	就這樣了	c=1 d=1 t=1284
ju 	句	c=1 d=1 t=3850
ju 	舉	c=1 d=1 t=4524
ju bao 	舉報	c=1 d=1 t=5093
ju hua 	菊花	c=4 d=1.01174 t=6165
ju huang 	橘黃	c=1 d=1 t=2747
ju jue 	拒絕	c=2 d=1.77492 t=2873
ju qian 	拒簽	c=1 d=1 t=5832
ju ti 	具體	c=1 d=1 t=1233
ju ti hua 	具體化	c=1 d=1 t=7672
ju wai ren 	局外人	c=1 d=1 t=5713
ju zu 	劇組	c=1 d=1 t=1997
juan 	捐	c=1 d=1 t=3166
juan qi lai 	捲起來	c=1 d=1 t=800
jue bi 	絕壁	c=1 d=1 t=7694
jue de 	覺得	c=2 d=1.00012 t=3699
jue ding de 	決定的	c=1 d=0.778801 t=8218
jue ding shu 	決定書	c=0 d=0.1 t=3489
jue dui 	絕對	c=2 d=1.07172 t=2014
jue se 	角色	c=1 d=1 t=7340
jue shi 	絕食	c=2 d=1 t=7725
jun 	君	c=1 d=1 t=6091
jun chen 	君臣	c=1 d=1 t=6089
jun dui 	軍隊	c=1 d=1 t=2666
jun fu 	君父	c=1 d=1 t=6096
jun jing 	軍警	c=1 d=1 t=1432
jun wei 	軍委	c=0 d=0.1 t=2673
jun wei zhu xi 	軍委主席	c=1 d=1 t=2674
jun zi 	君子	c=1 d=1 t=1415
ka 	卡	c=4 d=1.05005 t=5280
ka fei 	咖啡	c=2 d=1.96595 t=7117
ka fei dian 	咖啡店	c=1 d=1 t=7090
ka si 	卡死	c=1 d=1 t=515
kai 	開	c=17 d=1.00009 t=8006
kai chu men dan 	開出門單	c=1 d=1 t=1172
kai dan 	開單	c=4 d=1.84789 t=7521
kai fa 	開發	c=4 d=0.722527 t=8218
kai fa piao 	開發票	c=2 d=1.99501 t=8163
kai fa zhe 	開發者	c=1 d=1 t=3677
kai hua 	開花	c=0 d=0.1 t=2469
kai piao 	開票	c=10 d=0.937067 t=8218
kai piao zhong 	開票中	c=1 d=1 t=5536
kai qi 	開啓	c=1 d=1 t=534
kai shi 	開始	c=3 d=1.00038 t=4647
kai yuan 	開元	c=0 d=0.1 t=7462
kai yuan 	開源	c=3 d=1.09869 t=1538
kai yuan jia zhou 	開元加州	c=1 d=1 t=7463
kan 	看	c=22 d=1.0106 t=7509
kan 	砍	c=1 d=1 t=4637
kan bu chu lai 	看不出來	c=1 d=1 t=390
kan bu dong 	看不懂	c=5 d=0.1 t=6363
kan bu qing 	看不清	c=1 d=1 t=3139
kan cheng 	堪稱	c=1 d=1 t=3399
kan cheng 	看成	c=1 d=1 t=3400
kan chu 	看出	c=1 d=1 t=7607
kan dao 	看到	c=2 d=1.00933 t=3644
kan de 	看得	c=2 d=1.96079 t=4082
kan de dao 	看得到	c=1 d=1 t=2613
kan fa 	看法	c=1 d=1 t=2631
kan ge 	看個	c=1 d=1 t=4184
kan guo 	看過	c=2 d=1 t=6367
kan kai 	看開	c=1 d=1 t=2955
kan kan 	看看	c=1 d=0.100344 t=1860
kan kan you 	看看有	c=1 d=1 t=1861
kan le 	看了	c=1 d=0.100019 t=6907
kan le yi xia 	看了一下	c=1 d=1 t=6908
kan ni 	看你	c=0 d=0.1 t=3854
kan ni shi 	看你是	c=1 d=1 t=3855
kan pian 	看片	c=1 d=1 t=3385
kan shu 	砍樹	c=1 d=0.133373 t=4635
kan ta men 	看他們	c=1 d=1 t=3042
kan xia 	看下	c=1 d=0.1 t=4669
kan yi xia 	看一下	c=1 d=1 t=3617
kan zhe 	看着	c=3 d=2.95551 t=5304
kao 	靠	c=6 d=1.90547 t=5614
kao jin 	靠近	c=1 d=1 t=4038
kao pu 	靠譜	c=1 d=1 t=3428
kao zhe 	靠着	c=1 d=1 t=1219
ke 	可	c=5 d=1.99017 t=6954
ke 	科	c=0 d=0.1 t=8140
ke ai 	可愛	c=1 d=1 t=6967
ke bi 	科比	c=1 d=1 t=3982
ke bu ke yi 	可不可以	c=2 d=1.41895 t=268
ke bu shi 	可不是	c=1 d=1 t=4629
ke hai shi 	可還是	c=1 d=1 t=5371
ke hu 	客戶	c=9 d=2.02859 t=7677
ke ji 	科技	c=1 d=0.10014 t=3331
ke le 	可樂	c=1 d=0.354107 t=5997
ke li 	顆粒	c=1 d=1 t=6007
ke lian 	可憐	c=1 d=1 t=785
ke meng 	可夢	c=1 d=1 t=298
ke neng 	可能	c=13 d=0.767206 t=8218
ke pu 	科普	c=1 d=1 t=1287
ke shi 	可是	c=1 d=1 t=2735
ke ta 	可他	c=1 d=1 t=187
ke wai huo dong 	課外活動	c=1 d=1 t=1497
ke wu 	可惡	c=1 d=1 t=5242
ke xi 	可惜	c=2 d=1.00013 t=3319
ke yi 	可以	c=65 d=2.4617 t=8218
ke yi jia 	可以加	c=1 d=1 t=239
ke yi kan chu 	可以看出	c=1 d=1 t=7616
ke yi you 	可以有	c=1 d=1 t=7565
ke zhe 	可這	c=2 d=1 t=3344
ken 	肯	c=0 d=0.1 t=4632
ken de ji 	肯德基	c=1 d=1 t=4634
ken di ji 	肯低級	c=1 d=1 t=4633
ken ding 	肯定	c=2 d=1.00001 t=2840
keng 	坑	c=1 d=1 t=3304
kong 	控	c=1 d=1 t=6440
kong bai 	空白	c=1 d=1 t=4397
kong jian 	空間	c=4 d=2.5631 t=7663
kong qi 	空氣	c=3 d=2.16621 t=4147
kong you 	空右	c=1 d=1 t=6986
kong zhi 	控制	c=4 d=1.32541 t=3906
kong zhong 	空中	c=1 d=1 t=4664
kou 	口	c=0 d=0.1 t=4050
kou bei 	口碑	c=1 d=1 t=6041
kou dai 	口袋	c=0 d=0.1 t=5152
ku 	哭	c=3 d=2.992 t=7692
ku 	苦	c=1 d=1 t=5987
ku qi 	庫奇	c=1 d=1 t=5991
ku qi 	庫齊	c=1 d=1 t=5989
ku shen me 	哭什麼	c=1 d=1 t=7691
kua 	跨	c=3 d=1.00031 t=4485
kuai 	塊	c=1 d=1 t=2234
kuai 	快	c=3 d=1 t=7229
kuai dian 	快點	c=0 d=0.1 t=5790
kuai ge mao 	快個毛	c=1 d=1 t=3823
kuai jie 	快捷	c=1 d=1 t=118
kuai jin 	快進	c=1 d=1 t=6425
kuai qian 	塊錢	c=2 d=1 t=7067
kuai su 	快速	c=1 d=1 t=3871
kuai xia 	快下	c=1 d=1 t=476
kuai zhao 	快照	c=2 d=1.85214 t=4261
kuan dai 	寬帶	c=2 d=1.74453 t=497
kuang 	狂	c=0 d=0.1 t=5457
kuang an 	狂按	c=2 d=1.95123 t=703
kuang dao 	礦刀	c=1 d=1 t=8019
kuang jia 	框架	c=1 d=1 t=460
kuang xi 	狂喜	c=1 d=1 t=5459
kui 	盔	c=1 d=1 t=5535
kui 	虧	c=2 d=1.97531 t=5693
kun 	坤	c=2 d=1 t=8080
la 	拉	c=1 d=1 t=5350
la 	辣	c=1 d=1 t=5373
la heng fu 	拉橫幅	c=1 d=1 t=3065
la ji 	垃圾	c=6 d=1.08713 t=8111
la ji ping tai 	垃圾平臺	c=1 d=1 t=8112
la kua 	拉跨	c=2 d=1.21691 t=3613
la shi 	拉屎	c=2 d=1.99501 t=3862
la tiao 	辣條	c=1 d=1 t=5249
la zhu 	蠟燭	c=1 d=1 t=2799
lai 	來	c=4 d=1.08036 t=7968
lai bu ji 	來不及	c=1 d=1 t=6911
lai de 	來的	c=1 d=1 t=3317
lai ge 	來個	c=2 d=1 t=3363
lai le 	來了	c=1 d=1 t=6768
lai xiu guo 	來修過	c=1 d=1 t=4302
lai yi ge 	來一個	c=1 d=1 t=3534
lai yuan 	來源	c=2 d=1 t=6649
lai zhe 	來着	c=7 d=1.00142 t=7332
lai zhe 	賴着	c=5 d=1.02683 t=3041
lan se 	藍色	c=2 d=1 t=5082
lan wei 	爛尾	c=1 d=1 t=3052
lang fei 	浪費	c=2 d=1.07225 t=7580
lang man 	浪漫	c=1 d=1 t=3709
lao 	老	c=0 d=0.1 t=3710
lao da 	老大	c=3 d=1.08991 t=2609
lao dong 	勞動	c=2 d=1.97531 t=584
lao jin dou yun 	老金鬥雲	c=1 d=1 t=3711
lao po 	老婆	c=2 d=1 t=4079
lao shi 	老師	c=2 d=1.41066 t=2942
lao shi 	老是	c=1 d=1 t=4704
lao tie 	牢鐵	c=1 d=1 t=3776
lao tie 	老鐵	c=1 d=1 t=3775
lao xiang 	老想	c=1 d=1 t=7708
lao ye ye 	老爺爺	c=1 d=1 t=4635
lao you ji 	老友記	c=1 d=1 t=5052
lao zi 	老子	c=1 d=1 t=7739
le 	了	c=157 d=4.1471 t=8218
le ma 	了嗎	c=1 d=1 t=6456
le me 	了麼	c=1 d=1 t=7216
lei 	淚	c=0 d=0.1 t=8016
lei 	肋	c=1 d=0.71177 t=8218
lei dian 	雷電	c=2 d=1.97045 t=5977
lei xing 	類型	c=1 d=1 t=191
li 	立	c=1 d=1 t=7280
li 	裏	c=15 d=2.43103 t=6742
li jia 	離家	c=1 d=1 t=7358
li jie 	理解	c=1 d=1 t=260
li lun 	理論	c=3 d=1.00031 t=7844
li lun shang 	理論上	c=2 d=1.93707 t=2400
li mian 	裏面	c=2 d=1.00089 t=3811
li pu 	離譜	c=1 d=1 t=6575
li shi 	歷史	c=5 d=2.52235 t=5580
li wo 	理我	c=1 d=1 t=1643
li xiang 	理想	c=2 d=1.52714 t=6193
li xiang zhu yi 	理想主義	c=1 d=1 t=6125
li xing 	理性	c=1 d=1 t=591
li yi 	禮儀	c=0 d=0.1 t=4898
li yi ne 	禮儀呢	c=1 d=1 t=4899
li yong 	利用	c=1 d=1 t=4591
li you 	理由	c=2 d=1 t=6888
li zhi 	李志	c=5 d=2.03597 t=1649
li zi 	例子	c=1 d=1 t=209
lian 	練	c=2 d=1.00003 t=6808
lian 	臉	c=1 d=1 t=6839
lian 	連	c=3 d=1.98511 t=7999
lian cheng 	連誠	c=4 d=2.59231 t=8166
lian ge 	連個	c=2 d=1 t=8113
lian jie 	連接	c=6 d=1.91851 t=7238
lian jie 	鏈接	c=4 d=1 t=6024
lian meng 	聯盟	c=0 d=0.1 t=5233
lian shu zi 	連數字	c=1 d=1 t=462
lian tiao 	聯調	c=1 d=1 t=815
lian tong 	聯通	c=1 d=1 t=3244
lian xi 	聯繫	c=1 d=1 t=1470
lian zhe 	連着	c=1 d=1 t=4994
liang 	兩	c=2 d=1.3772 t=4557
liang ci 	兩次	c=2 d=1 t=6560
liang dao 	兩刀	c=1 d=1 t=4822
liang duan 	兩端	c=1 d=1 t=7512
liang ge 	兩個	c=5 d=1 t=8194
liang ju 	兩句	c=1 d=1 t=5674
liang kai hua 	兩開花	c=1 d=1 t=2470
liang meng 	梁孟	c=0 d=0.1 t=5591
liang miao 	兩秒	c=1 d=1 t=979
liang nian 	兩年	c=1 d=1 t=3843
liang san 	兩三	c=1 d=1 t=1140
liang wa 	兩娃	c=1 d=1 t=8083
liang xiao shi 	兩小時	c=1 d=1 t=4088
liang xin 	良心	c=1 d=1 t=1778
liang zhang 	兩張	c=1 d=1 t=3553
liao tian 	聊天	c=2 d=1.00144 t=1976
lie chu 	列出	c=1 d=1 t=5424
lie ning 	列寧	c=9 d=7.54642 t=6305
lin shi 	臨時	c=1 d=1 t=4412
ling 	靈	c=1 d=1 t=5766
ling dao 	領導	c=5 d=1.01723 t=3702
ling dao shuo 	領導說	c=1 d=1 t=2488
ling wai 	另外	c=1 d=1 t=3026
liu 	溜	c=1 d=1 t=762
liu lan qi 	瀏覽器	c=8 d=0.951229 t=8218
liu le 	溜了	c=1 d=1 t=3495
liu liang 	流量	c=2 d=1.97531 t=7214
liu mang 	流氓	c=1 d=1 t=2919
liu qi 	六七	c=0 d=0.1 t=6599
liu si 	六四	c=1 d=1 t=1424
liu zhe 	留着	c=1 d=1 t=5703
lou 	樓	c=1 d=1 t=84
lou dong 	漏洞	c=3 d=2.92688 t=4279
lou xia 	樓下	c=1 d=1 t=6615
lou zhu 	樓主	c=1 d=1 t=5186
lu 	路	c=0 d=0.1 t=1526
lu bian 	路邊	c=2 d=1.97531 t=7093
lu jing 	路徑	c=3 d=1 t=7058
lu kou 	路口	c=1 d=1 t=6873
lu you qi 	路由器	c=2 d=1.97045 t=4321
lu zhi 	錄製	c=1 d=1 t=3985
lun 	論	c=1 d=1 t=4011
luo zhi xiang 	羅志祥	c=1 d=1 t=5741
lv 	率	c=1 d=1 t=1092
lv deng 	綠燈	c=1 d=1 t=6969
lv shui qing shan 	綠水青山	c=1 d=1 t=6141
lv you 	旅遊	c=1 d=1 t=1513
lve 	略	c=0 d=0.1 t=718
lve lve 	略略	c=0 d=0.1 t=718
lve lve lve 	略略略	c=1 d=1 t=719
ma 	嗎	c=37 d=1.41267 t=8106
ma 	碼	c=7 d=1.42745 t=5818
ma 	罵	c=5 d=1.44449 t=8100
ma 	馬	c=1 d=1 t=6202
ma dan 	馬但	c=1 d=1 t=4415
ma ke si 	馬克思	c=1 d=1 t=6253
ma li ao 	馬里奧	c=3 d=2.94099 t=5054
ma long 	馬龍	c=1 d=1 t=2929
ma mu bu ren 	麻木不仁	c=1 d=1 t=324
ma ren 	罵人	c=1 d=1 t=2575
ma wo 	罵我	c=1 d=1 t=6992
ma yun 	馬雲	c=1 d=1 t=4042
mai 	買	c=6 d=1.01079 t=7695
mai 	賣	c=2 d=1.02411 t=8201
mai bu qi 	買不起	c=1 d=1 t=7586
mai de 	買的	c=1 d=1 t=6061
mai ge 	買個	c=2 d=1.00361 t=5201
mai le 	買了	c=1 d=1 t=7707
mai shu 	賣書	c=1 d=1 t=7306
mai yi ge 	買一個	c=1 d=1 t=5996
man 	慢	c=1 d=1 t=6046
man hua 	漫畫	c=2 d=1.98511 t=7344
man man 	慢慢	c=1 d=1 t=6235
man you 	漫遊	c=1 d=1 t=3434
mang 	忙	c=1 d=1 t=1639
mang mu 	盲目	c=0 d=0.1 t=4083
mao 	毛	c=6 d=1.65853 t=7765
mao bi 	毛筆	c=0 d=0.1 t=3900
mao bi ren 	毛筆人	c=1 d=1 t=3901
mao fa 	毛髮	c=1 d=1 t=7131
mao zhu xi 	毛主席	c=2 d=1 t=6602
me 	麼	c=70 d=1.068 t=8218
mei 	沒	c=11 d=1.39051 t=7842
mei ban fa 	沒辦法	c=2 d=1.07136 t=5116
mei bei 	沒被	c=1 d=1 t=5690
mei bei chu li 	沒被處理	c=1 d=1 t=1412
mei bi yao 	沒必要	c=1 d=1 t=6566
mei cheng gong 	沒成功	c=1 d=1 t=6212
mei ci 	每次	c=3 d=1.27253 t=7063
mei dai 	沒帶	c=1 d=1 t=5529
mei dian 	沒電	c=1 d=1 t=6436
mei duo yuan 	沒多遠	c=1 d=1 t=744
mei fa 	沒發	c=2 d=1.9802 t=1148
mei fan ying 	沒反應	c=2 d=1.00475 t=4381
mei ge 	每個	c=1 d=1 t=3160
mei ge ren 	每個人	c=1 d=1 t=5763
mei gei 	沒給	c=1 d=1.02312 t=6562
mei gen wo 	沒跟我	c=1 d=1 t=1286
mei guan xi 	沒關係	c=1 d=1 t=4537
mei guo 	美國	c=12 d=1.97045 t=7768
mei guo ren 	美國人	c=3 d=1.99501 t=7939
mei jian guo 	沒見過	c=1 d=1 t=7643
mei jin 	沒勁	c=1 d=1 t=5988
mei kan 	沒看	c=1 d=1 t=3221
mei kan dao 	沒看到	c=1 d=1 t=842
mei kan jian 	沒看見	c=1 d=1 t=3602
mei kong 	沒空	c=3 d=1 t=3388
mei kong jian 	沒空間	c=1 d=1 t=89
mei lai 	沒來	c=0 d=0.1 t=4611
mei le 	沒了	c=1 d=1 t=1978
mei li 	美麗	c=1 d=1 t=5108
mei nv 	美女	c=2 d=1.06856 t=6329
mei qian 	沒錢	c=1 d=1 t=1699
mei qu dong 	沒驅動	c=1 d=1 t=3812
mei ren 	沒人	c=3 d=1 t=6508
mei sha 	沒啥	c=1 d=0.890571 t=1647
mei sha yong 	沒啥用	c=2 d=1 t=6122
mei shen me 	沒什麼	c=4 d=1.46355 t=6958
mei shi 	沒事	c=2 d=1 t=6327
mei tai 	每臺	c=1 d=1 t=5218
mei ti 	沒提	c=1 d=1 t=6921
mei ting guo 	沒聽過	c=2 d=1 t=7099
